name,platform,post_sum_6m,like_count_post_6m,comment_count_post_6m,share_count_post_6m,view_count_post_6m,video_post_sum_6m,like_count_video_6m,comment_count_video_6m,share_count_video_6m,view_count_video_6m,short_post_sum_6m,like_count_short_6m,comment_count_short_6m,share_count_short_6m,view_count_short_6m,live_post_sum_6m,like_count_live_6m,comment_count_live_6m,share_count_live_6m,view_count_live_6m,follower_count_processed,live,post,short,video,avg_post_voice,avg_video_voice,avg_short_voice,avg_live_voice
翹班旅行文化觀察誌,ig,170.0,50356.0,5589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,101783.0,2433.0,0.0,1275921.0,0.0,0.0,0.0,0.0,0.0,24000.0,21000.0,2000.0,91000.0,,105.30176408646021,0.0,2224.3069595014967,0.0
股市隱者,ig,76.0,17338.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1711.0,15.0,0.0,39057.0,0.0,0.0,0.0,0.0,0.0,18000.0,19000.0,69000.0,51000.0,,75.176314800311644,0.0,520.76246745234585,0.0
艾爾文,ig,90.0,624693.0,2994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187000.0,21000.0,32000.0,191000.0,,2098.9433100117408,0.0,0.0,0.0
茉茉,ig,3.0,1312.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19000.0,23000.0,2000.0,88000.0,,135.5332881555706,0.0,0.0,0.0
萱,ig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,1.0,0.0,519.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,0.0,0.0,27.799993050001742,0.0
萱,ig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,36.0,0.0,0.0,3838.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,0.0,0.0,64.86666126111156,0.0
萱,ig,1.0,117.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,155.0,1.0,0.0,1352.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,47.599952400047606,0.0,158.69992065003967,0.0
萱,ig,1.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,712.0,76.0,0.0,4326.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,17.499982500017502,0.0,50.763634056198448,0.0
萱,ig,2.0,731.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,110.64994467502764,0.0,0.0,0.0
萱,ig,2.0,731.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,110.64994467502764,0.0,0.0,0.0
萱,ig,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,0.6666664444445185,0.0,0.0,0.0
萱,ig,3.0,395.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,42.333319222226926,0.0,0.0,0.0
萱,ig,3.0,207.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,21.033326322224557,0.0,0.0,0.0
萱,ig,4.0,1082.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,85.0249787437553,0.0,0.0,0.0
萱,ig,4.0,727.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,60.8999847750038,0.0,0.0,0.0
萱,ig,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,0.199999960000008,0.0,0.0,0.0
萱,ig,5.0,687.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,42.019991596001681,0.0,0.0,0.0
萱,ig,8.0,2311.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,272.0,9.0,0.0,2215.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,87.724989034376378,0.0,529.09947090052913,0.0
萱,ig,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,2.0,0.0,1613.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,0.18749997656250295,0.0,108.76663041112319,0.0
萱,ig,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,0.0,0.0,25.899995683334055,0.0
萱,ig,11.0,1654.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,359.0,6.0,0.0,1113.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,46.972723002479732,0.0,111.09996296667902,0.0
萱,ig,11.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,4.0,0.0,592.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,1.7727271115702627,0.0,41.033319655560113,0.0
萱,ig,11.0,693.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,132.0,1.0,0.0,1240.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,19.990907273553887,0.0,57.619988476002305,0.0
萱,ig,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,439.0,15.0,0.0,5583.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,0.41666663194444736,0.0,209.2999651166725,0.0
萱,ig,13.0,2638.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,332.0,0.0,0.0,1576.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,63.569225879290322,0.0,207.39989630005186,0.0
萱,ig,14.0,526.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,13.235713340306189,0.0,7.4999962500018746,0.0
萱,ig,19.0,1998.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,55016.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,34.099998205263248,0.0,1388.7748842687597,0.0
萱,ig,28.0,2426.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,200.0,9.0,0.0,1828.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,26.939284752168398,0.0,143.36661887779371,0.0
萱,ig,41.0,10380.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,431.0,5.0,0.0,7325.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,77.719510299524146,0.0,798.39960080019955,0.0
萱,ig,69.0,200.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,2000.0,75000.0,,1.9347825806553249,0.0,44.799955200044806,0.0
萱怡,ig,78.0,62588.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2238.0,20.0,0.0,23406.0,0.0,0.0,0.0,0.0,0.0,13000.0,15000.0,1000.0,85000.0,,242.78076611819529,0.0,766.08560484491352,0.0
蒸蒸,ig,159.0,56259.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,57356.0,291.0,0.0,624637.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,2000.0,89000.0,,108.24339554563903,0.0,5928.3205863199755,0.0
薛妞妞,ig,25.0,9845.0,1108.0,0.0,0.0,3.0,352.0,4.0,0.0,3980.0,2.0,299.0,6.0,0.0,2408.0,0.0,0.0,0.0,0.0,0.0,3000.0,15000.0,45000.0,53000.0,,140.29999438800021,301.19989960003346,287.14985642507179,0.0
薛越,ig,180.0,237919.0,2912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6951.0,93.0,0.0,21263.0,0.0,0.0,0.0,0.0,0.0,29000.0,17000.0,2000.0,95000.0,,404.62055330766356,0.0,580.39994723636846,0.0
諾,ig,5.0,156.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10000.0,16000.0,68000.0,,12.75999744800051,0.0,0.0,0.0
謝坤達,ig,32.0,1667684.0,6676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,70870.0,365.0,0.0,455276.0,0.0,0.0,0.0,0.0,0.0,923000.0,23000.0,200000.0,621000.0,,15738.849508160953,0.0,18749.780208369968,0.0
谷川太太,ig,64.0,7625.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,773.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,12000.0,2000.0,82000.0,,40.460936867797862,0.0,126.94993652503172,0.0
超認真少年,ig,68.0,119299.0,1568.0,0.0,0.0,1.0,2517.0,28.0,0.0,16601.0,14.0,38100.0,717.0,0.0,625373.0,0.0,0.0,0.0,0.0,0.0,42000.0,26000.0,70000.0,84000.0,,537.84852150222764,4089.2959107040897,9775.9350160046433,0.0
郭念修,ig,17.0,9453.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1674.0,69.0,0.0,13121.0,0.0,0.0,0.0,0.0,0.0,10000.0,18000.0,1000.0,82000.0,,182.34704809723246,0.0,526.81657886390349,0.0
